"location.venue_state","location.lng","location.lat","style_category","med_lat","med_lng","lat_dist","lng_dist"
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"CA",-120.69,35.627,"Brown",37.9779,-122.415,2.3509,-1.72500000000001
"TX",-95.2379,29.768,"Brown",31.8181,-97.0367,2.0501,-1.7988
"AZ",-112.45,33.5664,"Brown",33.5664,-112.0315,0,0.418500000000009
"AZ",-112.018,33.5874,"Brown",33.5664,-112.0315,-0.0210000000000008,-0.0134999999999934
"NJ",-73.9828,40.398,"Brown",40.398,-74.2344,0,-0.251599999999996
"NJ",-73.9828,40.398,"Brown",40.398,-74.2344,0,-0.251599999999996
"NJ",-73.9828,40.398,"Brown",40.398,-74.2344,0,-0.251599999999996
"NJ",-73.9828,40.398,"Brown",40.398,-74.2344,0,-0.251599999999996
"PA",-76.9612,40.28,"Brown",40.2875,-75.9941,0.00750000000000028,0.967100000000002
"CA",-118.059,34.0979,"Brown",37.9779,-122.415,3.88,-4.35600000000001
"PA",-75.2324,40.2302,"Brown",40.2875,-75.9941,0.0572999999999979,-0.761700000000005
"PA",-79.9477,40.328,"IPA",40.2875,-75.9941,-0.0405000000000015,3.95359999999999
"CA",-117.552,34.0744,"IPA",37.9779,-122.415,3.9035,-4.863
"MD",-76.8102,39.2825,"IPA",39.2825,-76.8102,0,0
"CT",-72.0865,41.4903,"IPA",41.4837,-72.633,-0.00659999999999883,-0.546499999999995
"CA",-122.095,37.6629,"IPA",37.9779,-122.415,0.314999999999998,-0.320000000000007
"PA",-75.1913,40.9866,"IPA",40.2875,-75.9941,-0.699100000000001,-0.802800000000005
"VA",-76.2048,36.8982,"IPA",37.56675,-77.4482,0.668549999999996,-1.24339999999999
"PA",-76.8482,40.8254,"IPA",40.2875,-75.9941,-0.5379,0.854100000000003
"CA",-121.314,38.7709,"IPA",37.9779,-122.415,-0.792999999999999,-1.10100000000001
"CA",-121.759,36.9681,"IPA",37.9779,-122.415,1.0098,-0.656000000000006
"CA",-121.301,38.254,"IPA",37.9779,-122.415,-0.2761,-1.114
"CA",-118.143,34.1633,"IPA",37.9779,-122.415,3.8146,-4.27200000000001
"CA",-122.19,37.4573,"IPA",37.9779,-122.415,0.520600000000002,-0.225000000000009
"PA",-75.4128,40.5594,"IPA",40.2875,-75.9941,-0.271899999999995,-0.581299999999999
"NY",-73.9911,40.756,"IPA",40.78515,-73.9843,0.0291500000000013,0.00680000000001257
"MO",-94.6534,39.2092,"IPA",38.8689,-94.18805,-0.340300000000006,0.465350000000001
"CA",-122.42,37.7738,"IPA",37.9779,-122.415,0.204099999999997,0.00499999999999545
"CA",-120.255,39.3267,"IPA",37.9779,-122.415,-1.3488,-2.16000000000001
"CA",-122.324,38.3257,"IPA",37.9779,-122.415,-0.347799999999999,-0.0910000000000082
"CA",-122.048,37.9262,"IPA",37.9779,-122.415,0.0516999999999967,-0.367000000000004
"MD",-76.6147,38.6321,"Red",39.2825,-76.8102,0.650399999999998,-0.195499999999996
"CA",-122.662,38.2721,"IPA",37.9779,-122.415,-0.294200000000004,0.247
"PA",-75.1496,39.9402,"IPA",40.2875,-75.9941,0.347300000000004,-0.844499999999996
"IL",-87.8491,41.817,"IPA",41.8881,-88.0669,0.0711000000000013,-0.217799999999997
"IL",-89.6152,40.6983,"Pale",41.8881,-88.0669,1.1898,1.5483
"IL",-88.0196,41.5674,"Pale",41.8881,-88.0669,0.320700000000002,-0.047300000000007
"FL",-82.394,27.5351,"Pale",28.0949,-81.548,0.559799999999999,0.846000000000004
"VA",-77.4482,38.8434,"Pale",37.56675,-77.4482,-1.27665,0
"NC",-78.6398,35.8372,"Pale",35.5917,-80.7803,-0.2455,-2.14050000000002
"OH",-82.9394,40.172,"Pale",39.6268,-84.1733,-0.545199999999994,-1.23389999999999
"WA",-122.186,47.672,"Pale",47.6083,-122.315,-0.0636999999999972,-0.128999999999991
"CA",-122.404,37.7951,"Pale",37.9779,-122.415,0.1828,-0.0110000000000099
"CA",-122.404,37.7858,"Pale",37.9779,-122.415,0.192099999999996,-0.0110000000000099
"VA",-77.8116,37.6033,"Pale",37.56675,-77.4482,-0.0365499999999983,0.363399999999999
"PA",-76.0883,40.3385,"Pale",40.2875,-75.9941,-0.0510000000000019,0.0942000000000007
"CA",-122.504,37.945,"Pale",37.9779,-122.415,0.0328999999999979,0.0889999999999986
"CA",-122.562,37.975,"Pale",37.9779,-122.415,0.00289999999999679,0.146999999999991
"CA",-118.987,34.2029,"IPA",37.9779,-122.415,3.775,-3.42800000000001
"CA",-118.987,34.2029,"IPA",37.9779,-122.415,3.775,-3.42800000000001
"CA",-118.987,34.2029,"IPA",37.9779,-122.415,3.775,-3.42800000000001
"CA",-118.987,34.2029,"IPA",37.9779,-122.415,3.775,-3.42800000000001
"IL",-88.9851,40.5094,"IPA",41.8881,-88.0669,1.3787,0.918199999999999
"CA",-122.387,37.6183,"IPA",37.9779,-122.415,0.3596,-0.0280000000000058
"VA",-79.9592,37.2573,"IPA",37.56675,-77.4482,0.309449999999998,2.511
"CA",-122.255,37.5018,"IPA",37.9779,-122.415,0.476099999999995,-0.160000000000011
"NY",-73.9744,40.796,"IPA",40.78515,-73.9843,-0.0108499999999978,-0.00989999999998759
"CA",-122.018,36.9587,"IPA",37.9779,-122.415,1.0192,-0.397000000000006
"CA",-121.893,37.4115,"IPA",37.9779,-122.415,0.566400000000002,-0.522000000000006
"NY",-73.9863,40.7565,"IPA",40.78515,-73.9843,0.028649999999999,0.00200000000000955
"CA",-122.397,37.7859,"IPA",37.9779,-122.415,0.192,-0.0180000000000007
"NY",-73.9558,40.8038,"IPA",40.78515,-73.9843,-0.0186500000000009,-0.028499999999994
"NJ",-74.2344,41.0372,"IPA",40.398,-74.2344,-0.639199999999995,0
"CA",-122.389,37.7906,"IPA",37.9779,-122.415,0.1873,-0.0260000000000105
"CA",-117.886,33.6774,"IPA",37.9779,-122.415,4.3005,-4.52900000000001
