abvMax,abvMin,categoryId,fgMax,fgMin,ibuMax,ibuMin,id,name,ogMin,srmMax,srmMin,status
7,4.2,11,1.018,1.008,35,12,111,Ginjo Beer or Sake-Yeast Beer,1.04,20,4,
5.5,3.5,11,1.018,1.006,35,10,112,Light American Wheat Ale or Lager with Yeast,1.036,10,4,
5,3.8,11,1.016,1.004,35,10,113,Light American Wheat Ale or Lager without Yeast,1.036,10,2,
5,3.8,11,1.016,1.004,35,10,114,Fruit Wheat Ale or Lager with or without Yeast,1.036,10,2,
5,3.8,11,1.016,1.004,25,10,115,Dark American Wheat Ale or Lager with Yeast,1.036,22,9,
5,3.8,11,1.016,1.004,25,10,116,Dark American Wheat Ale or Lager without Yeast,1.036,22,9,
,,11,,,,,117,Rye Ale or Lager with or without Yeast,,,,
5.5,4.9,11,1.016,1.008,15,10,118,German-Style Rye Ale (Roggenbier) with or without Yeast,1.047,25,4,
12,2.5,11,1.03,1.006,70,5,119,Fruit Beer,1.03,50,5,
13.1,2.5,11,1.03,1.006,70,5,120,Field Beer,1.03,50,5,
12,2.5,11,1.03,1.006,70,5,121,Pumpkin Beer,1.03,50,5,
12,2.5,11,1.03,1.006,40,15,122,Chocolate / Cocoa-Flavored Beer,1.03,50,15,
12,2.5,11,1.03,1.006,40,15,123,Coffee-Flavored Beer,1.03,50,8,
12,2.5,11,1.03,1.006,70,5,124,Herb and Spice Beer,1.03,50,5,
25,2.5,11,1.03,1.006,100,,125,Specialty Beer,1.03,100,1,
12,2.5,11,1.03,1.006,100,,126,Specialty Honey Lager or Ale,1.03,100,1,
,,11,,,,,127,Gluten-Free Beer,,,,
,,11,,,,,128,Indigenous Beer (Lager or Ale),,,,
,,11,,,,,129,Smoke Beer (Lager or Ale),,,,
,,11,,,,,130,Experimental Beer (Lager or Ale),,,,
,,11,,,,,131,Historical Beer,,,,
,,11,,,,,132,Wood- and Barrel-Aged Beer,,,,
6.5,3.75,11,,,,,133,Wood- and Barrel-Aged Pale to Amber Beer,,18,4,
6.5,3.75,11,,,,,134,Wood- and Barrel-Aged Dark Beer,,,,
,,11,,,,,135,Wood- and Barrel-Aged Strong Beer,,,,
,,11,,,,,136,Wood- and Barrel-Aged Sour Beer,,,,
,,11,,,,,137,Aged Beer (Ale or Lager),,,,
,,11,,,,,138,Other Strong Ale or Lager,,,,
,,11,,,,,139,Non-Alcoholic (Beer) Malt Beverages,,,,
,,12,,,,,140,Dry Mead,,,,
,,12,,,,,141,Semi-Sweet Mead,,,,
,,12,,,,,142,Sweet Mead,,,,
,,12,,,,,143,Cyser (Apple Melomel),,,,
,,12,,,,,144,Pyment (Grape Melomel),,,,
,,12,,,,,145,Other Fruit Melomel,,,,
,,12,,,,,146,Metheglin,,,,
,,12,,,,,147,Braggot,,,,
,,12,,,,,148,Open Category Mead,,,,
8,5,12,1.02,1,,,149,Common Cider,1.045,,,
9,6,12,1.01,0.995,,,150,English Cider,1.05,,,
6,3,12,1.02,1.01,,,151,French Cider,1.05,,,
7,5,12,1.02,1,,,152,Common Perry,1.05,,,
9,5,12,1.02,1,,,153,Traditional Perry,1.05,,,
13,7,12,1.01,0.995,,,154,New England Cider,1.06,,,
9,5,12,1.01,0.995,,,155,Fruit Cider,1.045,,,
12,9,12,1.01,0.995,,,156,Apple Wine,1.07,,,
12,5,12,1.02,0.995,,,157,Other Specialty Cider or Perry,1.045,,,
9.5,5.5,3,1.03,1.02,50,35,158,American-Style Imperial Porter,1.08,40,40,
8.7,7.1,4,1.02,1.01,50,30,159,Adambier,1.07,35,15,
2.9,2.1,13,1.01,1.006,25,15,160,Grodziskie,1.028,6,3,
6,4,14,,,,,161,Flavored Malt Beverage,,,,
,1,14,,,,,162,Energy Enhanced Malt Beverage,,,,
,,1,,,,,163,Double Red Ale,,,,
,,3,,,,,164,Session India Pale Ale,,,,
,,1,,,,,165,Contemporary Gose,,,,
,,13,,,,,166,"Dutch-Style Kuit, Kuyt or Koyt",,,,
,,11,,,,,167,Belgian-style Fruit Beer,,,,
,,11,,,,,168,Chili Pepper Beer,,,,
,,11,,,,,169,Mixed Culture Brett Beer,,,,
,,11,,,,,170,Wild Beer,,,,
